Author,Name,URL,LastUpdated
Strati,DeepDungeonDex,https://github.com/Strati/DeepDungeonDex,2021-09-10
reckhou,MidiBard (fork),https://github.com/reckhou/MidiBard,2021-09-10
marimelon,SomethingNeedDoing (fork),https://github.com/marimelon/SomethingNeedDoing,2021-09-10
Eternita-S,TextAdvance,https://github.com/Eternita-S/TextAdvance,2021-09-10
that-succubus,SuccubusComboPlugin,https://github.com/that-succubus/SuccubusComboPlugin,2021-09-10
yakiro-nvg,PartyListLayout (fork),https://github.com/yakiro-nvg/PartyListLayout,2021-09-10
MgAl2O4,FFTriadBuddyDalamud,https://github.com/MgAl2O4/FFTriadBuddyDalamud,2021-09-10
FairyScript,SlideCast (fork),https://github.com/FairyScript/SlideCast,2021-09-10
Caraxi,SimpleTweaksPlugin,https://github.com/Caraxi/SimpleTweaksPlugin,2021-09-10
MgAl2O4,HarpHeroDalamud,https://github.com/MgAl2O4/HarpHeroDalamud,2021-09-10
Arrenton,KingdomHeartsPlugin,https://github.com/Arrenton/KingdomHeartsPlugin,2021-09-10
DelvUI,DelvUI,https://github.com/DelvUI/DelvUI,2021-09-09
Wondermane,XIVComboPlugin_RDMFix (fork),https://github.com/Wondermane/XIVComboPlugin_RDMFix,2021-09-09
devinpav,delvui (fork),https://github.com/devinpav/delvui,2021-09-09
PunishedPineapple,WaymarkPresetPlugin,https://github.com/PunishedPineapple/WaymarkPresetPlugin,2021-09-09
zhudotexe,FFXIV_PaissaHouse,https://github.com/zhudotexe/FFXIV_PaissaHouse,2021-09-09
kalilistic,Dalamud.Kapture,https://github.com/kalilistic/Dalamud.Kapture,2021-09-09
0ceal0t,JobBars,https://github.com/0ceal0t/JobBars,2021-09-08
kaminaris,Next-UI-Plugin,https://github.com/kaminaris/Next-UI-Plugin,2021-09-08
Eternita-S,HookMe,https://github.com/Eternita-S/HookMe,2021-09-08
UnknownX7,DalamudRepoBrowser,https://github.com/UnknownX7/DalamudRepoBrowser,2021-09-08
DomGrieco,DelvUI (fork),https://github.com/DomGrieco/DelvUI,2021-09-08
tesu,PennyPincher,https://github.com/tesu/PennyPincher,2021-09-08
hjl-yul154,XIVComboPluginExpandedest (fork),https://github.com/hjl-yul154/XIVComboPluginExpandedest,2021-09-08
kalilistic,PlayerTrack,https://github.com/kalilistic/PlayerTrack,2021-09-07
0ceal0t,Dalamud-VFXEditor,https://github.com/0ceal0t/Dalamud-VFXEditor,2021-09-07
thakyZ,GPNotify (fork),https://github.com/thakyZ/GPNotify,2021-09-07
LeonBlade,BDTHPlugin,https://github.com/LeonBlade/BDTHPlugin,2021-09-07
chalkos,Marketbuddy,https://github.com/chalkos/Marketbuddy,2021-09-07
lmcintyre,TitleEditPlugin,https://github.com/lmcintyre/TitleEditPlugin,2021-09-07
lmcintyre,TitleEditPlugin (fork),https://github.com/lmcintyre/TitleEditPlugin,2021-09-07
Bluefissure,MapLinker,https://github.com/Bluefissure/MapLinker,2021-09-06
captainbinary,XIVComboPluginKamified (fork),https://github.com/captainbinary/XIVComboPluginKamified,2021-09-06
remikan,XIVComboPlugin (fork),https://github.com/remikan/XIVComboPlugin,2021-09-06
Eternita-S,Splatoon,https://github.com/Eternita-S/Splatoon,2021-09-06
Haplo064,PixelPerfect,https://github.com/Haplo064/PixelPerfect,2021-09-06
Caraxi,MacroChain,https://github.com/Caraxi/MacroChain,2021-09-06
kalilistic,SillyChat,https://github.com/kalilistic/SillyChat,2021-09-05
UnknownX7,NoClippy,https://github.com/UnknownX7/NoClippy,2021-09-05
UnknownX7,Cammy,https://github.com/UnknownX7/Cammy,2021-09-05
UnknownX7,Fractionality,https://github.com/UnknownX7/Fractionality,2021-09-05
UnknownX7,OOBlugin,https://github.com/UnknownX7/OOBlugin,2021-09-05
abazilla,delvui (fork),https://github.com/abazilla/delvui,2021-09-05
SlashNephy,Dalamud.Divination.Debugger,https://github.com/SlashNephy/Dalamud.Divination.Debugger,2021-09-05
UnknownX7,QoLBar,https://github.com/UnknownX7/QoLBar,2021-09-05
Alexandrea,DelvUI (fork),https://github.com/Alexandrea/DelvUI,2021-09-05
TheResinger,DelvUI (fork),https://github.com/TheResinger/DelvUI,2021-09-05
Pheedifux,DelvUI (fork),https://github.com/Pheedifux/DelvUI,2021-09-05
tkapiris,DelvUI (fork),https://github.com/tkapiris/DelvUI,2021-09-05
kcall174,DelvUI (fork),https://github.com/kcall174/DelvUI,2021-09-05
Deadpool7892,DelvUI (fork),https://github.com/Deadpool7892/DelvUI,2021-09-05
chipget,DelvUI (fork),https://github.com/chipget/DelvUI,2021-09-05
rpomykala,DelvUI (fork),https://github.com/rpomykala/DelvUI,2021-09-05
Incalex,DelvUI (fork),https://github.com/Incalex/DelvUI,2021-09-05
nilaykumar,DelvUI (fork),https://github.com/nilaykumar/DelvUI,2021-09-05
ph34rwaffles,DelvUI (fork),https://github.com/ph34rwaffles/DelvUI,2021-09-05
Tischel,delvui (fork),https://github.com/Tischel/delvui,2021-09-05
shawn-stover,delvui (fork),https://github.com/shawn-stover/delvui,2021-09-05
TaigaXIV,delvui (fork),https://github.com/TaigaXIV/delvui,2021-09-05
DarwinCheese,delvui (fork),https://github.com/DarwinCheese/delvui,2021-09-05
itstajiri,delvui (fork),https://github.com/itstajiri/delvui,2021-09-05
niseko,delvui (fork),https://github.com/niseko/delvui,2021-09-05
Kandera,delvui (fork),https://github.com/Kandera/delvui,2021-09-05
Zeffuro,delvui (fork),https://github.com/Zeffuro/delvui,2021-09-05
